S.no,Name of Restaurants,Type of Restaurants,Rating,Rating by people,Rating_by_people,Website,Address,Area,Phone number,Outlets included,Web page
16,Al Karya Snack,,0,0,"
Al Karya Bakery brings you a taste of authentic Lebanese food & sandwiches, offering you the best in manakish, foul, falafel, shawarma, omelettes and much more. The food at Al Karya takes you on a journey back home. Less
",,"
Maple 2, Emirates Gardens 2 ","
","
+971 4 4300454 ",Jumeirah Village Circle,https://www.theentertainerme.com/outlets/al-karya-snack/detail?o=87404&m=50292
17,Al Bait Al Qadeem,,0,0,,,"
Dubai Safari Park, Opposite African Village ","
","
+971 56 511 1676 ",Al Warqa'a,https://www.theentertainerme.com/outlets/al-bait-al-qadeem/detail?o=93062&m=53066
18,Al Bakawat Restaurant,,0,0,,,"
The Citadel Tower ","
","
+971 4 564 0001 ",Business Bay,https://www.theentertainerme.com/outlets/al-bakawat-restaurant/detail?o=92682&m=53193
19,Al Bal Lounge,,0,0,"
Al Bal Restuarant is the latest Arabic-themed restaurant in TIME Oak Hotel & Suites, reflecting the Middle Eastern architectural structure that is screened with intricate latticed designs in wood. The restaurant offers Arabic food, including hot and cold mezze, burgers, grills and desserts along with a variety of beverages and over 30 flavours of hubbly bubbly to choose from. Less
",https://www.timehotels.ae/timeoakhotelandsuites,"
Ground Level ","
Barsha Heights ","
+971 437 7920 ",TIME Oak Hotel & Suites,https://www.theentertainerme.com/outlets/al-bal-lounge/detail?o=49747&m=28786
20,Al Bawadi,Arabic,0,0,,http://www.albawadigroup.com,"
Opposite Time Square Mall, Al Manara Street, Sheikh Zayed Road ","
Al Manara ","
+971 4 273 9475 ",Al Manara,https://www.theentertainerme.com/outlets/al-bawadi/detail?o=92602&m=53106
21,Al Bayt,Cafe,4.5,207,"
A splendid setting greets you as you enter The Palace Downtown Dubai - Al Bayt. Our distinctly Arabesque lobby lounge makes a delightful first impression. Embellished with glowing candles and eclectic lanterns and extending onto a balcony that pays tribute to towering Burj Khalifa, it is the fascinating centrepiece of our inspiring Arabian architecture. We invite you to sip a leisurely cappuccino, join us for afternoon tea or savour the flavours of the International cuisine while enjoying live music. Less
",http://www.theaddress.com/afternoontea,"
Lobby Level ","
Downtown Dubai ","
+971 4 428 7981 ",Palace Downtown,https://www.theentertainerme.com/outlets/al-bayt/detail?o=1221&m=804
22,Al Dawaar Revolving Restaurant,International,5,3190,"
Experience Al Dawaar, Dubai’s only rooftop, revolving restaurant. It combines culinary excellence with panoramic 360-degree views of the city’s skyline, Burj Khalifa, creek and the sea. Enjoy live kitchen dining in a chic, tropical colonial setting or treat yourself to a handcrafted cocktail. Less
",http://www.hyattregencydubai.com,"
25th Level ","
Deira ","
+971 4 209 6887 ",Hyatt Regency Dubai,https://www.theentertainerme.com/outlets/al-dawaar-revolving-restaurant/detail?o=20164&m=12136
23,Al Dente,,0,0,,https://www.hmhhotelgroup.com/en/uae/sharjah/coral-beach-sharjah/dining,"
Ground Level, Beside Main Entrance of Coral Beach Resort ","
Sharjah ","
+971 56 118 5314 ",Sharjah,https://www.theentertainerme.com/outlets/al-dente/detail?o=92785&m=53172
24,Al Falak Restaurant,,0,0,"
Offering Arabic & International cuisine, excellent food & service, indoor & outdoor seating, great views and lots of shisha options, Al Falak Restaurant is the ideal place for lunch, dinner or a shisha break. Less
",,"
Opal Tower, Ground Level ","
","
+971 4 229 6866 ",Downtown Dubai,https://www.theentertainerme.com/outlets/al-falak-restaurant/detail?o=85857&m=49618
25,Al Fanar Restaurant and Cafe, Read Reviews,5,158,"
There has never been a restaurant in the UAE that caters to authentic Emirati cuisine both in fine dining and in a nostalgic ambience of a themed setting. Al Fanar (the kerosene lamp used in Dubai's older days) is here to feed the curiosity of visitors; a haven for the locals; an iconic showcase of exotic culture and exquisite taste. Less
",http://www.alfanarrestaurant.com,"
Al Nadiah Area, Sheikh Mohamed Bin Salem Road ","
Ras Al Khaimah ","
+971 7 222 2240 ",Ras Al Khaimah,https://www.theentertainerme.com/outlets/al-fanar-restaurant-and-cafe/detail?o=23128&m=7466
26,Al Fanar Seafood Market,,0,0,"
Are you ready to transport yourself to the UAE of 1960? Visit our Al Seef branch that retains the charm of the local vintage architecture and authentic Emirati flavours, designed to treat the senses of seafood lovers. Select the freshest seafood of your choice and our culinary masters will infuse it with mouthwatering Emirati flavours. Try this unique seafood experience at our Al Seef branch located in Umm Hurair, Dubai. Less
",http://www.alfanarrestaurant.com,"
Ground Level ","
Bur Dubai ","
+971 4 396 6669 ",Al Seef,https://www.theentertainerme.com/outlets/al-fanar-seafood-market/detail?o=63752&m=37340
27,Al Forno,Italian,0,0,"
Located at the poolside, this Italian-style casual restaurant offers exquisite, mouthwatering and hot oven-baked Mediterranean fare, pizza and paninis. The food at Al Forno always thrill the taste buds of the youngsters and their parents. Less
",http://www.marjanislandresort.com,"
Poolside ","
Ras Al Khaimah ","
+971 7 2036666 ",Marjan Island Resort & Spa,https://www.theentertainerme.com/outlets/al-forno/detail?o=53601&m=31020
28,Al Forsan,International,4.5,271,"
Overlooking the Arabian Desert, Al Forsan restaurant offers a refreshingly friendly and casual ambience for those who want to enjoy an exquisite buffet for breakfast, lunch or dinner with their families. The restaurant serves Arabic and International cuisine and features a number of live cooking stations. The restaurant’s operational timing changes according to seasons. Less
",http://www.meydanhotels.com,"
Ground Level ","
Al Qudra ","
+971 4 809 6194 ",Bab Al Shams Desert Resort & Spa,https://www.theentertainerme.com/outlets/al-forsan/detail?o=1389&m=893
29,Al Fresco,Italian,4,193,"
Al Fresco is an intimate, award-winning, Italian restaurant with a quaint terrace and open-air theme, which is as welcoming as it is beautiful. Located on the second level, stepping inside this unique haunt immediately fills you with a feeling of warmth as the smell of fresh dough and herbs waft through the air. Perfect for a quick business lunch or a romantic dinner for two, Al Fresco delivers on all counts. Less
",http://www.fundining.ae,"
2nd Level ","
Sheikh Zayed Road ","
800-CROWNE (276963) ",Crowne Plaza Dubai,https://www.theentertainerme.com/outlets/al-fresco/detail?o=3053&m=1959
30,Al Hadheerah,Middle Eastern,4.5,1501,"
Welcome to Al Hadheerah at Bab Al Shams Desert Resort & Spa, an Arabian restaurant that opens its doors to live cooking stations with wood-fired traditional Arabic bread ovens. Whilst dining, you can listen to Arabic music and the oud player and be entertained. The evening is encompassed by the wide expanse of the desert whilst falconry displays lend a magical touch to any evening. Be sure to close the door to the real world behind you. Less
",http://www.babalshams.com,"
Ground Level ","
Al Qudra ","
+971 4 809 6194 ",Bab Al Shams Desert Resort & Spa,https://www.theentertainerme.com/outlets/al-hadheerah/detail?o=107&m=42
31,Al Hadiqa Restaurant,Arabic,4.5,37,"
Al Hadiqa provides the perfect venue for those who would like to enjoy their evenings al fresco style. The kitchen serves traditional Arabic mezze, shawarma and mixed grills. If you are looking for the perfect hubbly bubbly lounge in JBR - The Walk, visit Al Hadiqa Restaurant and experience a wide variety of flavoured hubbly bubbly in an authentic Arabic tent designed to reflect true Arabian spirit. Less
",http://[email protected],"
Ground Level ","
Jumeirah Beach Residence ","
+971 4 315 3838 ",Sheraton Jumeirah Beach Resort,https://www.theentertainerme.com/outlets/al-hadiqa-restaurant/detail?o=47157&m=27547
32,Al Hakawati,Lebanese,4,9,"
Al Hakawati is a casual Lebanese café that offers a modern twist to traditional dining. With plenty of Lebanese dishes and International picks, Al Hakawati offers a delicious variety of dishes. Less
",,"
The Market, Green Community Village ","
","
+971 4 885 3991 ",Dubai Investment Park,https://www.theentertainerme.com/outlets/al-hakawati/detail?o=37836&m=22491
33,Al Khaima,Arabic,4.5,272,"
Al Khaima, the majestic Arabic restaurant nestled in the enchanting gardens of Le Royal Méridien Beach Resort & Spa, has relaunched with an all-new look and feel, serving the best of Middle Eastern cuisine in a casual yet stylish environment. The idyllic venue has been upgraded to offer diners an elevated dining experience, paying homage to the region's traditional dishes but served for the modern-day. Less
",http://www.alkhaima-dubai.com/,"
In the Garden ","
Dubai Marina ","
+971 4 316 5550 ",Le Royal Meridien Beach Resort & Spa,https://www.theentertainerme.com/outlets/al-khaima/detail?o=87717&m=49825
34,Al Khan Restaurant,,0,0,,http://www.pullman-sharjah.com,"
R Level ","
Sharjah ","
+971 6 591 0000 ",Pullman Sharjah,https://www.theentertainerme.com/outlets/al-khan-restaurant/detail?o=93420&m=53408
35,Al Khayma Café,,0,0,"
Enjoy a variety of flavours of distinctively aromatic hubbly bubbly and traditional Arabic dishes in a truly unique setting, overlooking the sandy beach. You will enjoy genuine Middle Eastern hospitality at its best at Al Khayma Café. Less
",http://www.dxbmarine.com,"
Jumeirah 1 ","
Jumeirah ","
+971 4 346 1111 ",Dubai Marine Beach Resort and Spa,https://www.theentertainerme.com/outlets/al-khayma-caf/detail?o=76993&m=44365
36,Al Madam Restaurant,International,0,0,,http://www.myskhotels.com/,"
Al Badayer, Mysk Al Badayer Retreat ","
Sharjah ","
+971 6 801 2000 ",Sharjah,https://www.theentertainerme.com/outlets/al-madam-restaurant/detail?o=94222&m=53903
37,Al Maeda,Middle Eastern,4.5,323,"
Dine-in an upscale Arabic restaurant which provides traditions elegantly blended with glamour. Enjoy the fresh and modern experience created with different lifestyles and occasions in mind. Al Maeda offers a full-service bar and an outdoor terrace with a breathtaking sea view, ideal for relaxing and enjoying different flavours of shisha. Opening Hours: Daily: 11:00am - 12:00midnight Less
",http://www.dubaijumeirahbeach.doubletree.com,"
1st Level, The Walk ","
Jumeirah Beach Residence ","
+971 55 166 8092 ",Jumeirah Beach,https://www.theentertainerme.com/outlets/al-maeda/detail?o=8489&m=4614
38,Al Majlis Tea Lounge,,0,0,"
Set in an Arabian stylish yet comfortable atmosphere, Al Majlis Tea Lounge overlooks the Majestic Lobby with its high ceiling, pillars and distinguished palatial feel. Watch the world go by with lounge music and enjoy all-day savouries, patisseries, cool refreshments and freshly brewed coffee & afternoon teas. It is an ideal spot to linger. Less
",https://www.marjanislandresort.com/dining/al-majlis/,"
Ground Level, Lobby Area ","
Ras Al Khaimah ","
+971 7 203 6666 ",Marjan Island Resort & Spa,https://www.theentertainerme.com/outlets/al-majlis-tea-lounge/detail?o=75761&m=43679
39,Al Mallah,,0,0,"
For over 30 years, Al Mallah has been a staple in Lebanese fast food in the United Arab Emirates. The expansive menu, with over 200 items, covers a wide range of pastries, shawarmas, falafel, sandwiches, grills, fresh juices, cocktails and signature shakes. Al Mallah has something for everyone - from someone fancying a quick bite to a group of friends looking to enjoy a Lebanese-style dinner and from the walkers on the streets to those cruising around in their cars. Less
",,"
Opposite Sunsrise City Supermarket, Al Wahda Street, Al Majaz 2, Al Majaz ","
","
+971 6 559 4332 ",Sharjah,https://www.theentertainerme.com/outlets/al-mallah/detail?o=61952&m=25766
40,Al Marjan,International,4.5,371,"
Al Marjan is an all-day dining restaurant and is a combination of all the elements of world cuisine and local specialties represented in a truly International buffet, with innovative live cooking elements to give a creative atmosphere and focus on fresh products and innovative presentation of the meals. Less
",http://www.marjanislandresort.doubletree.com,"
Ground Level ","
Ras Al Khaimah ","
+971 7 203 0104 ",DoubleTree by Hilton Resort & Spa Marjan Island,https://www.theentertainerme.com/outlets/al-marjan/detail?o=14840&m=8580
41,Al Mawal,,0,0,"
Why not delight in a variety of succulent grills on the chilled terrace of Al Mawal whilst watching the live game with a shisha. The terrace is open from 5:00pm for you to savour a leisurely afternoon with friends and family. Al Mawal offers one of the best locations in the city to watch your favourite sporting events live on the giant screen with a range of authentic Arabic flavours offered on à la carte menu. Less
",http://www.ghayagrandhotel.com,"
1st Level ","
Dubai ","
+971 4 429 3300 ",Ghaya Grand Hotel,https://www.theentertainerme.com/outlets/al-mawal/detail?o=90321&m=52118
42,Al Nafoorah - Emirates Tower, Read Reviews,4.5,860,"
A truly authentic taste of Lebanese dining is as much about generous, traditional service as it is the delicious cuisine. Al Nafoorah has long enjoyed a reputation for serving the finest Lebanese food in Dubai, along with generous helpings of Lebanese hospitality. Hot and cold mezze dishes are Al Nafoorah's specialities and the outdoor terrace creates a beautiful al fresco setting for any occasion. Less
",https://www.jumeirah.com/,"
Shopping Boulevard ","
Sheikh Zayed Road ","
800 666353 ",Jumeirah Emirates Towers,https://www.theentertainerme.com/outlets/al-nafoorah-emirates-tower/detail?o=716&m=457
43,Al Nakheel,International,4.5,15,"
In the heart of Grand Hyatt Dubai’s lobby, the elegant Al Nakheel Lounge is a prime gathering spot for hotel guests and visitors. It serves high tea and continental breakfast along with a light menu, showcasing the best of Arabic flavours, delicious pastries and a variety of beverages. Less
",https://www.hyattrestaurants.com/en/dining/uae/dubai/international-restaurant-in-garhoud-al-nakheel-lobby-lounge,"
Lobby Level ","
Zaabeel  ","
+971 4 317 2221 ",Grand Hyatt Dubai,https://www.theentertainerme.com/outlets/al-nakheel/detail?o=14837&m=8578
44,Al Nokhada,,0,0,"
Located on the 2nd Level, Al Nokhada offers the most authentic Arabic dishes which have evolved over centuries to perfection. Each dish is prepared with a variety of spices and ingredients to create a distinct and individual flavour. Less
",http://www.radissonblu.com,"
2nd Level  ","
Fujairah ","
+971 9 244 9700 ",Radisson Blu Resort Fujairah,https://www.theentertainerme.com/outlets/al-nokhada/detail?o=61844&m=36188
45,Al Qasr Restaurant,,0,0,,,"
Jumeirah 1 ","
 4 346  ","
+971 4 346 1111 ",Dubai Marine Beach Resort and Spa,https://www.theentertainerme.com/outlets/al-qasr-restaurant/detail?o=92855&m=53253
46,Al Qubtan,International,4.5,69,"
Al Qubtan, meaning “The Captain” in Arabic, is a laid-back beach restaurant located at the Sheraton Sharjah Beach Resort & Spa directly at the seaside. Whether you desire a relaxing lunch snack, a romantic dinner, overlooking the Arabian Gulf or a sweet treat at night amid the resort's traditional architecture, Al Qubtan serves Caribbean light fare and fruity mocktails for everybody's taste. Less
",http://www.sheratonsharjah.com,"
Ground Level, Beachside ","
Sharjah ","
+971 6 599 0088 ",Sheraton Sharjah Beach Resort & Spa,https://www.theentertainerme.com/outlets/al-qubtan/detail?o=19579&m=11650
47,Al Rihla Restaurant,International,0,0,"
Taste the best of both worlds at Al Rihla Restaurant which specialises in blending International architecture and cuisine seamlessly with Arabian elements. All meals are prepared dramatically in an engaging interactive open kitchen, making each dish a delicious stage. Less
",http://royalmhotels.com/alfujairah,"
Ground Level ","
Fujairah ","
+971 9 201 2096 ",Royal M Hotel Fujairah Mall,https://www.theentertainerme.com/outlets/al-rihla-restaurant/detail?o=24219&m=14741
48,Ala Pala by Eataly,International,0,0,,,"
1st Level, Water Front View, Festival Square  ","
","
+971 4 224 1083 ",Dubai Festival City,https://www.theentertainerme.com/outlets/ala-pala-by-eataly/detail?o=93480&m=53538
49,Alisha Biryani's,,0,0,,,"
Delivery only: Building 2817 Qutami Muwaliah Commercial ","
","
+971 2 671 0355 ",Sharjah,https://www.theentertainerme.com/outlets/alisha-biryani-s/detail?o=92326&m=52926
50,Alison Nelson's Chocolate Bar Dubai,,0,0,"
Alison Nelson's Chocolate Bar is a wildly creative, cutting-edge, cosmopolitan cocoa emporium restaurant, born in the heart of New York West Village with a goal to give every luncher, diner and belly-filler of every kind an elevated foodie experience. Chocolate bar has taken its bold, creative, fearless, taste-bud pleasing, passion-feeding roots and become an award-winning brand that has the local community at heart. Less
",,"
Central Galleria, 1st Level ","
","
+971 4 236 3186 ",City Centre Mirdif,https://www.theentertainerme.com/outlets/alison-nelson-s-chocolate-bar-dubai/detail?o=87901&m=50479
51,Allegra,,0,0,,https://dubai.revierhotels.com/en/dining.html,"
3rd Level, Al Asayel Street ","
Business Bay ","
+971 4 574 7548 ",Revier Dubai,https://www.theentertainerme.com/outlets/allegra/detail?o=93831&m=53707
52,Alloro,Italian,0,0,"
Alloro offers a laid-back dining experience, inspired by a memory of that summer spent in Tuscany. It generously serves a taste of Tuscany on each plate while celebrating family, friends and life, every single day. Less
",http://www.allorodubai.com,"
Ground Level ","
Dubai Marina ","
+971 4 407 8872 ",Wyndham Dubai Marina,https://www.theentertainerme.com/outlets/alloro/detail?o=42296&m=25245
53,Alphorn,,0,0,,https://dubai.revierhotels.com/en/dining.html,"
3rd Level, Al Asayel Street ","
 Business Bay ","
+971 4 574 7549 ",Revier Dubai,https://www.theentertainerme.com/outlets/alphorn/detail?o=93830&m=53706
54,ALPYS Cafe & Restaurant,Cafe,0,0,"
Here at A.L.P.Y.S©, we offer a special range of food & beverage prepared by our own chefs from the finest, carefully selected ingredients. Travel on a trip around the world with International, Italian and Mexican dishes in a modern, relaxed atmosphere and distinctive service. Less
",http://www.switchbowling.ae,"
India Court, Parking No. 10 ","
Jebel Ali ","
+971 4 440 5961 ",Ibn Battuta Mall,https://www.theentertainerme.com/outlets/alpys-cafe-restaurant/detail?o=82897&m=48315
55,Amala, Read Reviews,4.5,1375,"
From the moment you step inside Amala, you’ll find the welcome is warm and authentically Indian. The cuisine, known as Mughlai, is strongly influenced by Persia and Turkey and is known for its richness with exotic spices, dried fruits and cream. Why not choose to enjoy Amala’s tantalising tasting menu to enjoy a delicious selection of the chef’s favourites for an exclusive set price per person. Less
",http://www.jumeirah.com/amala,"
Lobby Level, Right Wing ","
The Palm Jumeirah ","
+971 4 453 0444 ",Jumeirah Zabeel Saray,https://www.theentertainerme.com/outlets/amala/detail?o=8666&m=4709
56,Americano, Read Reviews,4.5,74,"
Americano, a stateside style bar and restaurant located at Souk Madinat Jumeirah, is inspired by an American style foregone. The trendy hangout brings a naughty twist and surreptitious feel to the Dubai food and beverage scene with a guaranteed convivial atmosphere. Food is at the heart of the venue with a touch of New York deli treats, sneaking into the menu. The ""ONLY"" time Americano is serious is when it comes to its cocktails and art of mixology. Less
",http://www.americano.ae,"
Shop No. G145, The Waterfront ","
Al Sufouh ","
+971 4 584 6475  ",Souk Madinat Jumeirah,https://www.theentertainerme.com/outlets/americano/detail?o=81036&m=46964
57,Americano Cafe & Lounge,Cafe,0,0,,https://www.grandcosmopolitandubai.com/,"
Ground Level, Lobby ","
Al Barsha ","
+971 4 512 22 41 ",Grand Cosmopolitan Hotel,https://www.theentertainerme.com/outlets/americano-cafe-lounge/detail?o=93345&m=53495
58,Amici Miei,,0,0,"
It literally translates to “My Friends” and refers to a story about friends who frequently meet up at the Bar Necchi, an iconic place in Florence. Overlooking Dubai Creek Harbour waterfront, Amici Miei restaurant offers traditional Italian recipes with a modern touch. Less
",,"
Promenade Level ","
","
+971 50 747 6678 ",Vida Creek Harbour,https://www.theentertainerme.com/outlets/amici-miei/detail?o=87458&m=50305
59,Amira's Deli,,0,0,"
Amira's Deli takes the best of both your typical European bakery and American deli and gives it a twist of fusion with other renowned cuisines of the world to ensure that its offerings appeal to all people at any given time of the day. Instantly from the name, one will think of breakfast or early lunch but we differentiate ourselves by not only offering unique breakfast items but also introducing mouthwatering lunch and dinner dishes satisfying everyone’s taste buds. Less
",,"
Ground Level, East ","
","
+971 4 587 6772 ",The Pointe,https://www.theentertainerme.com/outlets/amira-s-deli/detail?o=70233&m=40317
60,Anar, Read Reviews,4,346,"
Anar, in ancient Farsi, means “pomegranate,” but our love for things ancient Persian is now synonymous with a modern world of magical Persian dining. This contrast is reflected in all aspects of the restaurant in a unique blend of tradition and innovation. Offering cultured and traditional flavours, together with personal and distinctive service, Anar creates a memorable and authentic experience. With traditional and contemporary characteristics, the restaurant is warm and inviting with elegant decor and exquisite Persian art. Less
",http://www.anardubai.com,"
Ground Level ","
Al Sufouh ","
+971 4 368 6505 ",Souk Madinat Jumeirah,https://www.theentertainerme.com/outlets/anar/detail?o=779&m=518
61,Anchor Bar Corniche,Beverages,4,4,"
The Anchor Bar is a maritime-inspired bar designed in a contemporary style with an exposed brick wall and modern furniture. Multiple seating lounges and a seven-7 meter bar are ideal for guests to enjoy watching sports and feasting on variety of mouth-watering menu items. Menu highlights include signature ribs, prepared in a wood burning stove and paired with a selection of home-made sauces. For a perfect dining experience, it suggests pairing a sauce of your choice with a refreshing beverage from one of the 15 international brands. Less
",https://doubletree3.hilton.com/en/hotels/uae/doubletree-by-hilton-ras-al-khaimah-corniche-hotel-and-residences-RKTCRDI/index.html,"
Mezzanine Level ","
Ras Al Khaimah ","
+971 56 501 6182 ",DoubleTree by Hilton Ras Al Khaimah,https://www.theentertainerme.com/outlets/anchor-bar-corniche/detail?o=90913&m=52262
